n,#Prueba,Purview,Mecanismo,modo,k,perdida,tiempo_ms
10,9,ABCDEFGHI,ABCDEFGHI,Rapido_MCTS,5,2.33,1738.724961000116
10,9,ABCDEFGHI,ABCDEFGHI,Aprox_KLmc,3,0.0,778.3362999907695
10,9,ABCDEFGHI,ABCDEFGHI,Aprox_KLmc,4,0.0,1651.139599998714
10,9,ABCDEFGHI,ABCDEFGHI,Aprox_KLmc,5,0.0,2386.962699994911
10,10,ABCDEFGHI,BCDEFGHIJ,Exacto,2,0.0048828125,337.293900003715
10,10,ABCDEFGHI,BCDEFGHIJ,Exacto,3,0.01171875,412.1094000001904
10,10,ABCDEFGHI,BCDEFGHIJ,Exacto,4,0.0234375,557.1086999989348
10,10,ABCDEFGHI,BCDEFGHIJ,Exacto,5,0.03515625,549.9593999993522
10,10,ABCDEFGHI,BCDEFGHIJ,Exacto_KL,3,0.00390625,1120.071700002882
10,10,ABCDEFGHI,BCDEFGHIJ,Exacto_KL,4,0.0,2478.678899999068
10,10,ABCDEFGHI,BCDEFGHIJ,Exacto_KL,5,0.00390625,3331.775600003311
10,10,ABCDEFGHI,BCDEFGHIJ,Rapido_MCTS,2,0.4742857142857143,1291.554222999821
10,10,ABCDEFGHI,BCDEFGHIJ,Rapido_MCTS,3,0.4971428571428571,1240.846155999861
10,10,ABCDEFGHI,BCDEFGHIJ,Rapido_MCTS,4,1.864285714285715,1645.913233000101
10,10,ABCDEFGHI,BCDEFGHIJ,Rapido_MCTS,5,1.324285714285714,1791.059225000026
10,10,ABCDEFGHI,BCDEFGHIJ,Aprox_KLmc,3,0.00390625,934.420500008855
10,10,ABCDEFGHI,BCDEFGHIJ,Aprox_KLmc,4,0.0,1973.407599987695
10,10,ABCDEFGHI,BCDEFGHIJ,Aprox_KLmc,5,0.00390625,2883.000400004676
10,11,ABCDEFGHI,BCDEFGHI,Exacto,2,0.01171875,306.1566999967908
10,11,ABCDEFGHI,BCDEFGHI,Exacto,3,0.0234375,390.934399998514
10,11,ABCDEFGHI,BCDEFGHI,Exacto,4,0.04296875,426.6811000052257
10,11,ABCDEFGHI,BCDEFGHI,Exacto,5,0.0703125,574.6644000028027
10,11,ABCDEFGHI,BCDEFGHI,Exacto_KL,3,0.00390625,1162.755099998321
10,11,ABCDEFGHI,BCDEFGHI,Exacto_KL,4,0.0078125,1780.982199998107
10,11,ABCDEFGHI,BCDEFGHI,Exacto_KL,5,0.0,3577.766700000211
10,11,ABCDEFGHI,BCDEFGHI,Rapido_MCTS,2,0.0,1125.64350699995
10,11,ABCDEFGHI,BCDEFGHI,Rapido_MCTS,3,0.7985714285714285,1303.694958000051
10,11,ABCDEFGHI,BCDEFGHI,Rapido_MCTS,4,0.8421428571428571,1425.437714000054
10,11,ABCDEFGHI,BCDEFGHI,Rapido_MCTS,5,1.316428571428571,1642.100730000038
10,11,ABCDEFGHI,BCDEFGHI,Aprox_KLmc,3,0.00390625,805.2234000060707
10,11,ABCDEFGHI,BCDEFGHI,Aprox_KLmc,4,0.0078125,1487.673099996755
10,11,ABCDEFGHI,BCDEFGHI,Aprox_KLmc,5,0.0,3236.335599998711
10,12,ABCDEFGHI,ABDEGHJ,Exacto,2,0.01953125,301.6141000043717
10,12,ABCDEFGHI,ABDEGHJ,Exacto,3,0.046875,356.3653000019258
10,12,ABCDEFGHI,ABDEGHJ,Exacto,4,0.15234375,428.9045999976224
10,12,ABCDEFGHI,ABDEGHJ,Exacto,5,0.26171875,503.8888999988558
10,12,ABCDEFGHI,ABDEGHJ,Exacto_KL,3,0.0,1096.760200001881
10,12,ABCDEFGHI,ABDEGHJ,Exacto_KL,4,0.046875,2342.535700001463
10,12,ABCDEFGHI,ABDEGHJ,Exacto_KL,5,0.0078125,5253.34550000116
10,12,ABCDEFGHI,ABDEGHJ,Rapido_MCTS,2,1.027857142857143,1234.364338999967
10,12,ABCDEFGHI,ABDEGHJ,Rapido_MCTS,3,0.6924999999999999,1883.68998299984
10,12,ABCDEFGHI,ABDEGHJ,Rapido_MCTS,4,0.8485714285714288,1690.363313000034
10,12,ABCDEFGHI,ABDEGHJ,Rapido_MCTS,5,0.8028571428571427,1559.192204000283
10,12,ABCDEFGHI,ABDEGHJ,Aprox_KLmc,3,0.0,785.525300016161
10,12,ABCDEFGHI,ABDEGHJ,Aprox_KLmc,4,0.046875,1858.61520000617
10,12,ABCDEFGHI,ABDEGHJ,Aprox_KLmc,5,0.0078125,4911.651000002166
10,13,ABCDEFGHI,ACEGI,Exacto,2,0.015625,298.7334999997984
10,13,ABCDEFGHI,ACEGI,Exacto,3,0.0400390625,441.3194999942789
10,13,ABCDEFGHI,ACEGI,Exacto,4,0.0908203125,409.7505999961868
10,13,ABCDEFGHI,ACEGI,Exacto,5,0.1650390625,452.2723000045517
10,13,ABCDEFGHI,ACEGI,Exacto_KL,3,0.0,1002.364599997236
10,13,ABCDEFGHI,ACEGI,Exacto_KL,4,0.015625,1448.685499999556
10,13,ABCDEFGHI,ACEGI,Exacto_KL,5,0.072265625,2342.541500001971
10,13,ABCDEFGHI,ACEGI,Rapido_MCTS,2,0.5040178571428572,1156.43344199998
10,13,ABCDEFGHI,ACEGI,Rapido_MCTS,3,0.5710714285714285,1001.375432000259
10,13,ABCDEFGHI,ACEGI,Rapido_MCTS,4,0.498392857142857,1183.319014000062
10,13,ABCDEFGHI,ACEGI,Rapido_MCTS,5,0.5609821428571428,1258.892198000012
10,13,ABCDEFGHI,ACEGI,Aprox_KLmc,3,0.0,742.9225000087172
10,13,ABCDEFGHI,ACEGI,Aprox_KLmc,4,0.015625,1157.192599988775
10,13,ABCDEFGHI,ACEGI,Aprox_KLmc,5,0.072265625,1869.819899991853
10,14,ABCDEFGHI,BDFHJ,Exacto,2,0.00390625,363.1293999933405
10,14,ABCDEFGHI,BDFHJ,Exacto,3,0.015625,409.4206000008853
10,14,ABCDEFGHI,BDFHJ,Exacto,4,0.03515625,494.4810999950278
10,14,ABCDEFGHI,BDFHJ,Exacto,5,0.0595703125,501.0081000000355
10,14,ABCDEFGHI,BDFHJ,Exacto_KL,3,0.0,1013.425399993139
10,14,ABCDEFGHI,BDFHJ,Exacto_KL,4,0.0078125,1383.970700000646
10,14,ABCDEFGHI,BDFHJ,Exacto_KL,5,0.0244140625,1873.796099993342
10,14,ABCDEFGHI,BDFHJ,Rapido_MCTS,2,0.0,807.2155160002694
10,14,ABCDEFGHI,BDFHJ,Rapido_MCTS,3,0.02651785714285715,1186.906458000067
10,14,ABCDEFGHI,BDFHJ,Rapido_MCTS,4,0.2271428571428571,1435.707460000231
10,14,ABCDEFGHI,BDFHJ,Rapido_MCTS,5,0.2155357142857143,1830.411220999849
10,14,ABCDEFGHI,BDFHJ,Aprox_KLmc,3,0.0,770.4094000218902
10,14,ABCDEFGHI,BDFHJ,Aprox_KLmc,4,0.0078125,1010.751699999673
10,14,ABCDEFGHI,BDFHJ,Aprox_KLmc,5,0.0244140625,1460.523999994621
10,15,BCDEFGHIJ,ABCDEFGHIJ,Exacto,2,0.47265625,771.4657000033185
10,15,BCDEFGHIJ,ABCDEFGHIJ,Exacto,3,0.953125,879.931099996611
10,15,BCDEFGHIJ,ABCDEFGHIJ,Exacto,4,1.447265625,1003.844899998512
10,15,BCDEFGHIJ,ABCDEFGHIJ,Exacto,5,1.9423828125,1127.194900000177
10,15,BCDEFGHIJ,ABCDEFGHIJ,Exacto_KL,3,0.0,2843.654299998889
10,15,BCDEFGHIJ,ABCDEFGHIJ,Exacto_KL,4,0.453125,4000.428800005466
10,15,BCDEFGHIJ,ABCDEFGHIJ,Exacto_KL,5,0.89453125,4699.965499996324
10,15,BCDEFGHIJ,ABCDEFGHIJ,Rapido_MCTS,2,3.64,1422.960928000066
10,15,BCDEFGHIJ,ABCDEFGHIJ,Rapido_MCTS,3,3.677142857142857,1580.186851000235
10,15,BCDEFGHIJ,ABCDEFGHIJ,Rapido_MCTS,4,4.171428571428572,1898.987055000362
10,15,BCDEFGHIJ,ABCDEFGHIJ,Rapido_MCTS,5,4.265714285714286,2201.617851000265
10,15,BCDEFGHIJ,ABCDEFGHIJ,Aprox_KLmc,3,0.0,1879.532000020845
10,15,BCDEFGHIJ,ABCDEFGHIJ,Aprox_KLmc,4,0.453125,3309.112899994943
10,15,BCDEFGHIJ,ABCDEFGHIJ,Aprox_KLmc,5,0.89453125,3916.013399983058
10,16,BCDEFGHIJ,ABCDEFGHI,Exacto,2,0.0048828125,616.4717999999993
10,16,BCDEFGHIJ,ABCDEFGHI,Exacto,3,0.0107421875,719.0551000021514
10,16,BCDEFGHIJ,ABCDEFGHI,Exacto,4,0.0302734375,779.149599999073
10,16,BCDEFGHIJ,ABCDEFGHI,Exacto,5,0.0576171875,1016.579200004344
10,16,BCDEFGHIJ,ABCDEFGHI,Exacto_KL,3,0.005859375,1161.618900005124
10,16,BCDEFGHIJ,ABCDEFGHI,Exacto_KL,4,0.0,3340.125000002445
10,16,BCDEFGHIJ,ABCDEFGHI,Exacto_KL,5,0.00390625,4674.395800000639
10,16,BCDEFGHIJ,ABCDEFGHI,Rapido_MCTS,2,1.832857142857143,1305.817096999817
10,16,BCDEFGHIJ,ABCDEFGHI,Rapido_MCTS,3,1.651428571428572,1577.093941999919
10,16,BCDEFGHIJ,ABCDEFGHI,Rapido_MCTS,4,1.907142857142857,1429.69281500018
10,16,BCDEFGHIJ,ABCDEFGHI,Rapido_MCTS,5,2.608571428571429,1716.572545999952
10,16,BCDEFGHIJ,ABCDEFGHI,Aprox_KLmc,3,0.005859375,618.2332999887876
10,16,BCDEFGHIJ,ABCDEFGHI,Aprox_KLmc,4,0.0,2638.732399995206
10,16,BCDEFGHIJ,ABCDEFGHI,Aprox_KLmc,5,0.00390625,4088.87209999375
10,17,BCDEFGHIJ,BCDEFGHIJ,Exacto,2,0.0048828125,626.9616999998107
10,17,BCDEFGHIJ,BCDEFGHIJ,Exacto,3,0.01171875,766.9703999999911
10,17,BCDEFGHIJ,BCDEFGHIJ,Exacto,4,0.0234375,1018.464000000677
10,17,BCDEFGHIJ,BCDEFGHIJ,Exacto,5,0.03515625,1237.831200000073
10,17,BCDEFGHIJ,BCDEFGHIJ,Exacto_KL,3,0.00390625,1873.711300002469
10,17,BCDEFGHIJ,BCDEFGHIJ,Exacto_KL,4,0.0,2776.882899997872
10,17,BCDEFGHIJ,BCDEFGHIJ,Exacto_KL,5,0.00390625,4577.428500000678
10,17,BCDEFGHIJ,BCDEFGHIJ,Rapido_MCTS,2,0.0,1172.743567999987
10,17,BCDEFGHIJ,BCDEFGHIJ,Rapido_MCTS,3,1.762857142857143,1943.362376000096
10,17,BCDEFGHIJ,BCDEFGHIJ,Rapido_MCTS,4,2.097142857142857,1997.935806999976
